iter	MAE
0	17.0603851
1	16.87123735
2	16.69949575
3	16.54385226
4	16.38197149
5	16.23233953
6	16.10286995
7	15.98245235
8	15.87956734
9	15.75870754
10	15.66994105
11	15.58180983
12	15.4837192
13	15.39953579
14	15.32264468
15	15.24470775
16	15.17007323
17	15.09702713
18	15.02731973
19	14.97780452
20	14.92580751
21	14.86873595
22	14.82851272
23	14.78479808
24	14.75053756
25	14.70622869
26	14.67444045
27	14.64516656
28	14.60495847
29	14.57164849
30	14.53340336
31	14.49825064
32	14.46419669
33	14.44192385
34	14.41920973
35	14.3973118
36	14.37888264
37	14.35801483
38	14.33906144
39	14.32457736
40	14.30238678
41	14.28293764
42	14.25876466
43	14.24478794
44	14.22674813
45	14.20636871
46	14.18862483
47	14.17735909
48	14.1649131
49	14.15647331
50	14.14715924
51	14.13429045
52	14.11743672
53	14.10352962
54	14.08860528
55	14.07772394
56	14.07115174
57	14.05327664
58	14.04308742
59	14.02463251
60	14.01566941
61	14.00746565
62	14.00220403
63	13.99379516
64	13.984895
65	13.97536051
66	13.96940039
67	13.95881665
68	13.95456486
69	13.93828744
70	13.93405384
71	13.93021424
72	13.9254399
73	13.92010479
74	13.90811223
75	13.90424454
76	13.89825072
77	13.89189511
78	13.88786033
79	13.87976729
80	13.8758059
81	13.87308264
82	13.86917111
83	13.86151386
84	13.85734177
85	13.85376487
86	13.8479043
87	13.83685382
88	13.83274073
89	13.82761825
90	13.82344073
91	13.82014776
92	13.81158232
93	13.80526183
94	13.80045156
95	13.79698918
96	13.79148276
97	13.78294185
98	13.77654731
99	13.77204374
100	13.76671272
101	13.75990525
102	13.75633624
103	13.75158841
104	13.74754447
105	13.74204748
106	13.73435193
107	13.73245414
108	13.72575636
109	13.72305991
110	13.72146269
111	13.71925097
112	13.7135915
113	13.70848909
114	13.70560231
115	13.70435158
116	13.70344417
117	13.70275051
118	13.6992252
119	13.69526978
120	13.69187449
121	13.68727131
122	13.68323275
123	13.67735407
124	13.67636477
125	13.66860355
126	13.66636107
127	13.6637619
128	13.66152739
129	13.65925244
130	13.65787058
131	13.65588871
132	13.65479315
133	13.6537138
134	13.65009806
135	13.64841668
136	13.64227028
137	13.64102898
138	13.63926311
139	13.63354381
140	13.63293723
141	13.62556966
142	13.62432788
143	13.62398519
144	13.62198632
145	13.61675165
146	13.61360357
147	13.61294866
148	13.60928138
149	13.60497902
150	13.60165804
151	13.59854802
152	13.59745088
153	13.59648739
154	13.59591219
155	13.59127552
156	13.58893539
157	13.5829371
158	13.5801682
159	13.57538836
160	13.56615294
161	13.56424854
162	13.56143013
163	13.56103574
164	13.55694975
165	13.55344693
166	13.55214271
167	13.54758112
168	13.54689736
169	13.54459945
170	13.53280671
171	13.5287157
172	13.5284449
173	13.52634661
174	13.52569096
175	13.52382539
176	13.52296125
177	13.51952738
178	13.51748891
179	13.50730129
180	13.504642
181	13.49900383
182	13.49352842
183	13.49070894
184	13.48840549
185	13.48683323
186	13.48161221
187	13.47170432
188	13.46881675
189	13.46256555
190	13.45888192
191	13.45027609
192	13.4464117
193	13.44110345
194	13.42466496
195	13.40903535
196	13.4025987
197	13.39736261
198	13.38894657
199	13.38380739
200	13.37525617
201	13.3695199
202	13.36676909
203	13.36289981
204	13.35638746
205	13.3543989
206	13.35139007
207	13.34554623
208	13.34233841
209	13.33787584
210	13.33675815
211	13.33548903
212	13.33290185
213	13.32703961
214	13.3200668
215	13.31045259
216	13.30575282
217	13.29122391
218	13.28856215
219	13.27726527
220	13.27092211
221	13.26849061
222	13.26565668
223	13.26255837
224	13.25769775
225	13.2485915
226	13.24648143
227	13.24360759
228	13.24108419
229	13.23521843
230	13.22875408
231	13.22308698
232	13.21703196
233	13.21569514
234	13.20855403
235	13.20360634
236	13.19916025
237	13.19422734
238	13.19175301
239	13.1830832
240	13.18116459
241	13.17835395
242	13.17362011
243	13.17005301
244	13.16450425
245	13.1598546
246	13.15572906
247	13.1513888
248	13.15014669
249	13.14890629
250	13.1472003
251	13.14346955
252	13.13819928
253	13.12897007
254	13.1248177
255	13.12424519
256	13.12010595
257	13.11582446
258	13.10499488
259	13.09930527
260	13.09771401
261	13.08181167
262	13.07652528
263	13.07404957
264	13.07090201
265	13.06748665
266	13.06388467
267	13.06029287
268	13.05765018
269	13.0545391
270	13.05360942
271	13.05267229
272	13.05169644
273	13.04139183
274	13.03911714
275	13.03782451
276	13.02559426
277	13.02048017
278	13.01907073
279	13.01519346
280	13.00668246
281	13.00318826
282	12.99919829
283	12.99673613
284	12.98482345
285	12.98018818
286	12.97633011
287	12.97464184
288	12.9700182
289	12.96801652
290	12.96313636
291	12.95233168
292	12.94294571
293	12.94032864
294	12.93744677
295	12.93592154
296	12.9322258
297	12.92681486
298	12.91784882
299	12.91380929
300	12.91033672
301	12.90934029
302	12.9062194
303	12.90046702
304	12.89619049
305	12.8927655
306	12.88726294
307	12.88312362
308	12.87674239
309	12.8706813
310	12.87006977
311	12.86761195
312	12.86158807
313	12.85610557
314	12.85444203
315	12.85164133
316	12.84343159
317	12.83590564
318	12.83279666
319	12.82845697
320	12.82575125
321	12.82475545
322	12.82067527
323	12.8160643
324	12.81161379
325	12.80953709
326	12.80248834
327	12.80046128
328	12.79826767
329	12.79406058
330	12.79356044
331	12.79061675
332	12.78685916
333	12.78439296
334	12.78283311
335	12.78187931
336	12.77957569
337	12.77389192
338	12.77271307
339	12.77038207
340	12.76914887
341	12.76527769
342	12.76175637
343	12.75931442
344	12.75639253
345	12.75479833
346	12.74857575
347	12.74660268
348	12.74528641
349	12.73984834
350	12.73870247
351	12.73659567
352	12.73450078
353	12.73284171
354	12.73122343
355	12.72794586
356	12.72706946
357	12.71951185
358	12.71488745
359	12.71072065
360	12.70845625
361	12.70534118
362	12.70460813
363	12.70312256
364	12.69954989
365	12.69769032
366	12.69542617
367	12.69238629
368	12.69154491
369	12.68391721
370	12.68285805
371	12.67414827
372	12.67355138
373	12.67138406
374	12.66759949
375	12.66580507
376	12.66008499
377	12.65882061
378	12.65745428
379	12.65667015
380	12.65512427
381	12.65476229
382	12.6530357
383	12.65083768
384	12.64753721
385	12.64434819
386	12.64171123
387	12.6395008
388	12.63789987
389	12.63367067
390	12.63336914
391	12.63179875
392	12.63113503
393	12.62962565
394	12.62849528
395	12.62476472
396	12.62261339
397	12.62087057
398	12.62021603
399	12.61640264
